Suburb,Address,Location,Capacity,Rack type,Latitude,Longitude
City,82 Ann Street,Footpath (outside Sarina Russo Building),2,Holding rail,-27.46868,153.0229
City,87 Albert Street,Footpath,6,3 x holding rails,-27.47173,153.0274
City,88 Mary Street,Corner Mary Street and Albert Streets,6,3 bay rack,-27.47198,153.0272
City,97 Creek Street,Footpath,2,Holding rail,-27.46649,153.0282
Fortitude Valley,Boundary st- near Ivory St,"Southern Boundary St footpath, near traffic lights",2,Holding rail,-27.46232,153.0331
Fortitude Valley,"Boundary st, near Ivory Lane","On southern footpath of Boundary St, below Story Bridge",2,Holding rail,-27.46237,153.0343
City,City Botanic Gardens,Near rotunda,5,wheel racks,-27.47432,153.03
City,City Botanic Gardens,Near all abilities playground,8,4 x holding rails,-27.47374,153.0309
City,Corner Adelaide Street and Creek Street,Footpath,2,Holding rail,-27.46642,153.0278
City,Corner Ann St and North Quay,Beneath overpass,7,5 bay rack ,-27.47014,153.0214
City,Corner Charlotte Street and Eagle Street,"Footpath, near traffic lights",7,5 bay rack,-27.46875,153.03
City,Corner Charlotte Street and Edward Street,Footpath,2,Holding rail,-27.46997,153.0284
City,Corner George Street and Margaret Street,Footpath (outside Mineral House),4,4 x Holding rail,-27.47383,153.0264
City,Corner George Street and Mary Street,Footpath (outside Capital Hill Building),2,Holding rail,-27.47311,153.0257
City,Corner George Street and Queen Street,Redacliff Place (above bus tunnel),10,7 bay rack,-27.47114,153.0235
City,Corner North Quay and Queen Street,Redacliff Place (North Quay side),38,"2 x 10 bay racks, 1 x 7 bay rack, 1 x 5 bay rack, 6 single sided holding rails",-27.47135,153.0227
City,Corner Queen Street and Creek Street,Footpath,3,wheel rack,-27.46695,153.0289
City,Corner Queen Street and Eagle Street,Footpath,5,3 bay rack,-27.46605,153.03
City,Corner Queen Street and Eagle Street,In front of Emerites building,5,3 bay rack,-27.46559,153.0307
City,Corner Turbot Street and Wickham Terrace,"Wickham Terrace Car Park, inside Turbot Street entrance",7,toaster rack,-27.46522,153.0258
City,Eagle Street Pier,In entry area,10,2 x 5 bay racks,-27.46975,153.0305
City,Gardens Point Road,Top of cul-de-sac,7,5 bay rack,-27.47753,153.0305
City,"Gardens Point Road, QUT",Near picnic shelter,9,7 bay rack,-27.47897,153.0283
City,"Gardens Point Road, QUT",Near picnic shelter,7,5 bay rack,-27.47899,153.0283
City,King George Square,"King George Square (Speakers Corner), above Adelaide Street",10,7 bay rack,-27.46856,153.0246
City,King George Square,King George Square (behind busway entrance on Adelaide Street),20,2 x 10 bay racks,-27.46883,153.0241
City,Parkland Boulevard,"Roma Street Parklands, near main entry off Parkland Boulevard",8,4 x holding rails,-27.46346,153.0174
City,Queens Wharf Road,"Bicentennial Bikeway, near steps to North Quay Ferry Terminal",4,Holding rail,-27.47242,153.0231
City,Roma Street,Roma Street entrance to King George Square Busway Station,7,5 bay rack,-27.46794,153.0234
City,"Wickham Terrace, near Upper Edward St","Wickham Terrace Car Park, level 4b ",7,5 bay rack,-27.46501,153.0253
City,"Wickham Terrace, near Upper Edward Street","Wickham Terrace Car Park, level 4a",10,8 bay rack,-27.4649,153.0253
City,Roma Street,On Shared pathway front of Police Watch house near City Cycle facility,5,3 bay rack,-27.466245,153.017233
